,peak_start,file
0,7.02344671201814,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659162389.m4a
0,15.230612244897959,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613658951901.m4a
0,5.3757369614512465,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659433020.m4a
0,1.6823582766439906,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659312731.m4a
0,6.981224489795919,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659102252.m4a
0,8.997596371882086,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659192458.m4a
0,10.58235827664399,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659282670.m4a
0,26.381814058956916,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659402940.m4a
0,6.697278911564626,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659012035.m4a
0,26.157097505668936,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659523228.m4a
0,13.971337868480726,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613658921823.m4a
0,27.302902494331065,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659222524.m4a
0,17.755827664399092,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659072184.m4a
0,20.45578231292517,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659342809.m4a
0,7.854829931972789,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613658981959.m4a
0,19.92235827664399,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659493147.m4a
0,0.0024036281179138363,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659553295.m4a
0,26.795782312925173,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659252601.m4a
0,23.034920634920635,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659463081.m4a
0,14.768934240362814,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659372875.m4a
0,17.208027210884353,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659042103.m4a
0,21.598412698412698,sounds/samples/vi95kMQ65UeU7K1wae12D1GUeXd2/sample-1613659132314.m4a
